date,stock,sigma,ADV
2019-05-23,AAP,0.000356509061854095,146332.1
2019-05-24,AAP,0.000357142784871195,158014.3
2019-05-28,AAP,0.00036308771737549,167163.55
2019-05-29,AAP,0.000365610885219565,169010.2
2019-05-30,AAP,0.000369896187689095,170850.0
2019-05-31,AAP,0.00037409518958926504,171036.1
2019-06-03,AAP,0.00037641013089504,169329.3
2019-06-04,AAP,0.00038568559572825,172149.1
2019-06-05,AAP,0.00038603532230901,168386.65
2019-06-06,AAP,0.000383468327606005,165962.4
2019-06-07,AAP,0.00038038472640126997,167231.95
2019-06-10,AAP,0.000378271936671845,165056.05
2019-06-11,AAP,0.00037682619867202,167329.95
2019-06-12,AAP,0.000374923786121935,162692.85
2019-06-13,AAP,0.000372883115679805,159494.5
2019-06-14,AAP,0.00036717189592085,159591.5
2019-06-17,AAP,0.00036205751782599003,157535.45
2019-06-18,AAP,0.00035997166688824,154281.7
2019-06-19,AAP,0.00035448519477392006,151685.25
2019-06-20,AAP,0.00035122779751638503,149266.55
2019-06-21,AAP,0.00033302467248928996,141726.2
2019-06-24,AAP,0.0003230257241939,129343.6
2019-06-25,AAP,0.00031313045808648,123161.6
2019-06-26,AAP,0.00031032062140857997,124202.35
2019-06-27,AAP,0.00030918603417791004,122419.6
2019-06-28,AAP,0.000303274891246575,120984.15
